customer_id,service_id,status,status_change_date,billing_date,cancellation_reason
1,1,pending,2023-12-10,2025-03-13,
1,2,cancelled,2024-02-23,2024-08-23,Financial reasons
1,3,active,2023-08-15,2025-04-22,
1,4,cancelled,2024-10-22,2024-07-15,Dissatisfied with service
1,5,pending,2024-03-12,2025-03-29,
1,6,active,2024-10-27,2025-04-17,
1,7,pending,2024-12-31,2024-04-19,
1,8,active,2024-02-23,2025-05-06,
2,9,cancelled,2024-11-30,2024-08-16,Financial reasons
2,10,active,2024-07-05,2025-05-05,
2,11,active,2024-08-13,2025-05-09,
2,12,suspended,2024-08-12,2025-03-12,
2,13,cancelled,2023-11-18,2025-03-31,Financial reasons
3,14,suspended,2024-06-12,2024-05-23,
3,15,pending,2024-12-05,2024-07-31,
3,16,active,2023-10-05,2025-04-19,
3,17,pending,2024-10-22,2025-04-11,
3,18,pending,2023-07-25,2025-01-12,
3,19,pending,2023-09-11,2024-04-15,
3,20,cancelled,2024-10-07,2024-07-17,Financial reasons
3,21,pending,2024-02-02,2024-05-08,
3,22,pending,2025-03-08,2024-07-04,
4,23,active,2023-04-15,2025-05-02,
5,24,pending,2023-10-10,2024-12-26,
5,25,active,2024-12-31,2025-04-20,
6,26,suspended,2025-03-16,2024-04-27,
6,27,pending,2024-12-16,2025-01-01,
6,28,cancelled,2024-02-05,2025-02-10,Switched to competitor
6,29,active,2023-05-14,2025-04-25,
6,30,pending,2024-10-28,2025-03-26,
6,31,pending,2023-11-04,2025-02-22,
6,32,cancelled,2023-11-09,2024-06-24,No longer needed
7,33,cancelled,2024-10-18,2025-02-04,Dissatisfied with service
7,34,pending,2024-05-17,2024-05-30,
7,35,pending,2024-04-17,2024-09-24,
7,36,pending,2024-10-02,2024-10-15,
7,37,pending,2024-04-05,2024-10-04,
7,38,active,2023-12-08,2025-04-19,
7,39,suspended,2024-08-15,2024-05-10,
7,40,pending,2023-09-20,2024-05-16,
7,41,active,2024-05-04,2025-04-14,
8,42,active,2024-03-11,2025-04-16,
8,43,suspended,2024-04-01,2024-05-19,
8,44,cancelled,2024-10-07,2025-02-28,Moved to unsupported area
8,45,suspended,2024-05-10,2025-02-10,
8,46,pending,2023-10-01,2024-07-09,
8,47,pending,2024-01-27,2024-06-26,
9,48,cancelled,2024-08-30,2025-01-06,Switched to competitor
10,49,suspended,2024-02-17,2024-04-19,
10,50,suspended,2024-07-21,2025-02-03,
11,51,suspended,2025-03-19,2025-02-10,
11,52,pending,2024-09-02,2024-12-24,
11,53,pending,2024-06-20,2024-07-08,
11,54,pending,2023-06-24,2024-10-03,
11,55,suspended,2024-04-30,2024-10-01,
11,56,cancelled,2023-12-09,2024-12-14,Dissatisfied with service
11,57,pending,2023-05-15,2024-06-25,
12,58,cancelled,2024-07-14,2024-08-26,Dissatisfied with service
12,59,suspended,2024-05-20,2024-10-17,
12,60,cancelled,2024-04-13,2024-11-15,No longer needed
12,61,active,2023-06-15,2025-04-29,
12,62,suspended,2024-04-16,2024-12-05,
12,63,pending,2025-02-12,2025-01-07,
12,64,cancelled,2024-05-03,2024-08-22,No longer needed
12,65,suspended,2024-02-09,2025-02-19,
13,66,active,2023-06-15,2025-04-14,
13,67,suspended,2024-01-04,2024-10-19,
